date,family,sales,onpromotion
2026-06-19,BEVERAGES,174627.7,0
2026-06-20,BEVERAGES,207545.45,2
2026-06-21,BEVERAGES,221173.86,3
2026-06-22,BEVERAGES,185333.51,4
2026-06-23,BEVERAGES,190793.04,3
2026-06-24,BEVERAGES,171570.79,1
2026-06-25,BEVERAGES,166935.3,0
2026-06-26,BEVERAGES,190408.84,3
2026-06-27,BEVERAGES,209850.47,3
2026-06-28,BEVERAGES,229184.41,4
2026-06-29,BEVERAGES,184712.97,2
2026-06-30,BEVERAGES,177635.57,2
2026-07-01,BEVERAGES,173330.15,2
2026-07-02,BEVERAGES,161053.8,3
2026-07-03,BEVERAGES,163898.58,3
2026-07-04,BEVERAGES,190603.3,1
2026-07-05,BEVERAGES,205220.29,0
2026-07-06,BEVERAGES,172699.03,2
2026-07-07,BEVERAGES,197862.55,3
2026-07-08,BEVERAGES,181608.96,1
2026-07-09,BEVERAGES,169047.41,3
2026-07-10,BEVERAGES,168607.01,3
2026-07-11,BEVERAGES,198120.79,1
2026-07-12,BEVERAGES,173808.89,0
2026-07-13,BEVERAGES,181034.23,2
2026-07-14,BEVERAGES,176161.16,4
2026-07-15,BEVERAGES,157475.64,2
2026-07-16,BEVERAGES,160464.05,0
2026-07-17,BEVERAGES,181808.94,3
2026-07-18,BEVERAGES,223543.07,1
2026-07-19,BEVERAGES,206998.88,3
2026-07-20,BEVERAGES,180408.31,3
2026-07-21,BEVERAGES,168069.01,0
2026-07-22,BEVERAGES,174962.73,0
2026-07-23,BEVERAGES,177664.8,2
2026-07-24,BEVERAGES,162480.17,3
2026-07-25,BEVERAGES,185583.13,0
2026-07-26,BEVERAGES,193454.61,1
2026-07-27,BEVERAGES,163233.88,4
2026-07-28,BEVERAGES,173567.02,3
2026-07-29,BEVERAGES,154282.21,2
2026-07-30,BEVERAGES,175541.54,2
2026-07-31,BEVERAGES,181621.02,2
2026-08-01,BEVERAGES,237627.6,1
2026-08-02,BEVERAGES,207791.98,2
2026-08-03,BEVERAGES,138487.95,0
2026-08-04,BEVERAGES,173913.11,2
2026-08-05,BEVERAGES,173434.92,4
2026-08-06,BEVERAGES,159128.27,1
2026-08-07,BEVERAGES,178447.16,1
2026-08-08,BEVERAGES,193044.27,0
2026-08-09,BEVERAGES,185744.05,2
2026-08-10,BEVERAGES,142522.53,0
2026-08-11,BEVERAGES,172710.49,3
2026-08-12,BEVERAGES,194602.48,3
2026-08-13,BEVERAGES,189182.3,4
2026-08-14,BEVERAGES,166757.71,3
2026-08-15,BEVERAGES,194341.06,4
2026-08-16,BEVERAGES,184159.7,1
2026-08-17,BEVERAGES,158577.6,2
2026-08-18,BEVERAGES,173710.52,1
2026-08-19,BEVERAGES,187382.52,4
2026-08-20,BEVERAGES,168170.54,1
2026-08-21,BEVERAGES,171092.36,3
2026-08-22,BEVERAGES,188517.11,2
2026-08-23,BEVERAGES,182004.57,0
2026-08-24,BEVERAGES,145516.17,0
2026-08-25,BEVERAGES,177048.48,4
2026-05-01,DAIRY,111076.25,4
2026-05-02,DAIRY,116968.91,4
2026-05-03,DAIRY,120228.92,4
2026-05-04,DAIRY,96748.35,2
2026-05-05,DAIRY,90277.66,1
2026-05-06,DAIRY,98005.91,2
2026-05-07,DAIRY,102794.29,1
2026-05-08,DAIRY,84796.63,1
2026-05-09,DAIRY,98882.66,1
2026-05-10,DAIRY,119466.54,0
2026-05-11,DAIRY,89134.86,0
2026-05-12,DAIRY,106878.04,3
2026-05-13,DAIRY,83134.59,0
2026-05-14,DAIRY,96447.46,1
2026-05-15,DAIRY,89662.96,1
2026-05-16,DAIRY,110087.48,2
2026-05-17,DAIRY,113888.77,2
2026-05-18,DAIRY,90283.19,0
2026-05-19,DAIRY,96011.1,1
2026-05-20,DAIRY,98161.21,4
2026-05-21,DAIRY,84174.88,0
2026-05-22,DAIRY,90163.03,3
2026-05-23,DAIRY,108025.38,2
2026-05-24,DAIRY,95466.05,0
2026-05-25,DAIRY,95978.23,3
2026-05-26,DAIRY,96642.29,2
2026-05-27,DAIRY,85888.61,0
2026-05-28,DAIRY,104542.59,4
2026-05-29,DAIRY,94350.31,1
2026-05-30,DAIRY,106013.43,1
2026-05-31,DAIRY,109288.24,4
2026-06-01,DAIRY,94404.62,2
2026-06-02,DAIRY,89398.14,0
2026-06-03,DAIRY,97638.85,4
2026-06-04,DAIRY,89507.65,0
2026-06-05,DAIRY,99556.3,0
2026-06-06,DAIRY,107267.49,4
2026-06-07,DAIRY,99946.36,3
2026-06-08,DAIRY,92456.14,4
2026-06-09,DAIRY,104456.05,4
2026-06-10,DAIRY,82996.07,0
2026-06-11,DAIRY,76076.05,1
2026-06-12,DAIRY,92715.11,3
2026-06-13,DAIRY,106427.22,3
2026-06-14,DAIRY,103606.62,3
2026-06-15,DAIRY,76212.62,0
2026-06-16,DAIRY,83720.88,3
2026-06-17,DAIRY,82811.62,2
2026-06-18,DAIRY,81917.97,1
2026-06-19,DAIRY,114435.59,4
2026-06-20,DAIRY,102875.43,4
2026-06-21,DAIRY,109383.75,2
2026-06-22,DAIRY,101353.15,2
2026-06-23,DAIRY,86627.88,1
2026-06-24,DAIRY,92811.99,1
2026-06-25,DAIRY,87676.22,2
2026-06-26,DAIRY,84840.58,0
2026-06-27,DAIRY,104200.3,2
2026-06-28,DAIRY,98903.84,0
2026-06-29,DAIRY,81976.98,0
2026-06-30,DAIRY,87987.01,0
2026-07-01,DAIRY,90283.17,2
2026-07-02,DAIRY,93560.46,3
2026-07-03,DAIRY,93307.43,4
2026-07-04,DAIRY,99651.48,2
2026-07-05,DAIRY,104093.94,2
2026-07-06,DAIRY,96851.02,0
2026-07-07,DAIRY,93133.24,3
2026-07-08,DAIRY,83728.14,2
2026-07-09,DAIRY,85662.4,0
2026-07-10,DAIRY,79403.59,1
2026-07-11,DAIRY,100814.37,0
2026-07-12,DAIRY,112398.17,4
2026-07-13,DAIRY,95776.11,3
2026-07-14,DAIRY,86205.67,0
2026-07-15,DAIRY,82697.04,1
2026-07-16,DAIRY,93344.19,4
2026-07-17,DAIRY,87618.22,3
2026-07-18,DAIRY,104641.71,3
2026-07-19,DAIRY,108861.38,4
2026-07-20,DAIRY,95977.29,2
2026-07-21,DAIRY,89526.69,4
2026-07-22,DAIRY,87854.6,2
2026-07-23,DAIRY,82401.28,1
2026-07-24,DAIRY,74102.3,1
2026-07-25,DAIRY,108887.69,0
2026-07-26,DAIRY,90928.7,2
2026-07-27,DAIRY,84232.82,2
2026-07-28,DAIRY,83693.76,1
2026-07-29,DAIRY,79982.4,0
2026-07-30,DAIRY,95932.8,3
2026-07-31,DAIRY,98469.6,3
2026-08-01,DAIRY,114634.47,4
2026-08-02,DAIRY,113292.67,2
2026-08-03,DAIRY,88086.75,2
2026-08-04,DAIRY,81594.86,1
2026-08-05,DAIRY,89730.32,4
2026-08-06,DAIRY,86716.1,0
2026-08-07,DAIRY,76179.87,1
2026-08-08,DAIRY,98908.35,2
2026-08-09,DAIRY,110920.12,3
2026-08-10,DAIRY,97838.28,3
2026-08-11,DAIRY,84758.8,0
2026-08-12,DAIRY,84175.82,2
2026-08-13,DAIRY,81242.06,4
2026-08-14,DAIRY,88872.84,0
2026-08-15,DAIRY,108861.48,4
2026-08-16,DAIRY,96715.12,4
2026-08-17,DAIRY,86326.43,3
2026-08-18,DAIRY,81999.7,3
2026-08-19,DAIRY,85791.37,2
2026-08-20,DAIRY,83285.9,0
2026-08-21,DAIRY,70355.8,2
2026-08-22,DAIRY,101648.48,3
2026-08-23,DAIRY,101555.19,2
2026-08-24,DAIRY,71496.2,2
2026-08-25,DAIRY,80037.08,2
2026-05-01,GROCERY I,251144.32,4
2026-05-02,GROCERY I,334034.95,0
2026-05-03,GROCERY I,336509.49,2
2026-05-04,GROCERY I,264437.45,3
2026-05-05,GROCERY I,282080.51,1
2026-05-06,GROCERY I,279539.76,3
2026-05-07,GROCERY I,286567.58,4
2026-05-08,GROCERY I,258047.76,3
2026-05-09,GROCERY I,312923.23,2
2026-05-10,GROCERY I,316804.73,1
2026-05-11,GROCERY I,235991.96,0
2026-05-12,GROCERY I,277681.98,4
2026-05-13,GROCERY I,241206.72,0
2026-05-14,GROCERY I,257568.43,3
2026-05-15,GROCERY I,275746.65,1
2026-05-16,GROCERY I,322176.64,3
2026-05-17,GROCERY I,340914.25,3
2026-05-18,GROCERY I,295061.76,4
2026-05-19,GROCERY I,309020.39,2
2026-05-20,GROCERY I,249195.9,0
2026-05-21,GROCERY I,280943.07,0
2026-05-22,GROCERY I,244243.14,0
2026-05-23,GROCERY I,340947.21,2
2026-05-24,GROCERY I,263813.22,0
2026-05-25,GROCERY I,234522.69,2
2026-05-26,GROCERY I,243249.55,1
2026-05-27,GROCERY I,260227.01,0
2026-05-28,GROCERY I,261983.14,1
2026-05-29,GROCERY I,220464.33,2
2026-05-30,GROCERY I,296347.47,0
2026-05-31,GROCERY I,327202.86,3
2026-06-01,GROCERY I,268436.79,1
2026-06-02,GROCERY I,255608.81,3
2026-06-03,GROCERY I,276601.88,4
2026-06-04,GROCERY I,271700.45,3
2026-06-05,GROCERY I,257676.88,0
2026-06-06,GROCERY I,296375.81,1
2026-06-07,GROCERY I,303915.58,1
2026-06-08,GROCERY I,264807.18,4
2026-06-09,GROCERY I,256272.17,0
2026-06-10,GROCERY I,269404.36,4
2026-06-11,GROCERY I,260956.99,0
2026-06-12,GROCERY I,246366.92,4
2026-06-13,GROCERY I,279688.03,3
2026-06-14,GROCERY I,283061.18,1
2026-06-15,GROCERY I,284078.5,4
2026-06-16,GROCERY I,273300.88,4
2026-06-17,GROCERY I,289743.63,4
2026-06-18,GROCERY I,267562.85,4
2026-06-19,GROCERY I,293951.11,4
2026-06-20,GROCERY I,284333.75,2
2026-06-21,GROCERY I,295968.93,3
2026-06-22,GROCERY I,250812.0,4
2026-06-23,GROCERY I,254468.1,3
2026-06-24,GROCERY I,271678.66,0
2026-06-25,GROCERY I,235119.46,3
2026-06-26,GROCERY I,235411.85,2
2026-06-27,GROCERY I,294421.92,0
2026-06-28,GROCERY I,254295.81,1
2026-06-29,GROCERY I,282122.6,4
2026-06-30,GROCERY I,237295.36,1
2026-07-01,GROCERY I,222181.04,0
2026-07-02,GROCERY I,259369.27,2
2026-07-03,GROCERY I,248148.13,2
2026-07-04,GROCERY I,318312.87,4
2026-07-05,GROCERY I,323285.01,2
2026-07-06,GROCERY I,224549.4,2
2026-07-07,GROCERY I,262378.1,1
2026-07-08,GROCERY I,262824.38,1
2026-07-09,GROCERY I,262195.11,3
2026-07-10,GROCERY I,255141.33,2
2026-07-11,GROCERY I,333568.8,2
2026-07-12,GROCERY I,280482.84,0
2026-07-13,GROCERY I,238872.74,0
2026-07-14,GROCERY I,221935.97,0
2026-07-15,GROCERY I,247097.38,1
2026-07-16,GROCERY I,252447.95,2
2026-07-17,GROCERY I,237824.77,3
2026-07-18,GROCERY I,260345.31,4
2026-07-19,GROCERY I,261223.76,1
2026-07-20,GROCERY I,252104.72,4
2026-07-21,GROCERY I,265363.18,0
2026-07-22,GROCERY I,217648.01,0
2026-07-23,GROCERY I,244695.75,1
2026-07-24,GROCERY I,239520.8,2
2026-07-25,GROCERY I,298679.11,3
2026-07-26,GROCERY I,287476.95,3
2026-07-27,GROCERY I,255332.65,1
2026-07-28,GROCERY I,231644.78,0
2026-07-29,GROCERY I,286960.61,2
2026-07-30,GROCERY I,279536.59,4
2026-07-31,GROCERY I,243748.35,2
2026-08-01,GROCERY I,270763.33,0
2026-08-02,GROCERY I,295096.34,4
2026-08-03,GROCERY I,242650.41,1
2026-08-04,GROCERY I,232038.29,3
2026-08-05,GROCERY I,245062.13,1
2026-08-06,GROCERY I,251634.75,2
2026-08-07,GROCERY I,258040.97,4
2026-08-08,GROCERY I,290584.94,4
2026-08-09,GROCERY I,276614.29,2
2026-08-10,GROCERY I,248925.71,1
2026-08-11,GROCERY I,222323.95,0
2026-08-12,GROCERY I,210407.95,3
2026-08-13,GROCERY I,267526.09,3
2026-08-14,GROCERY I,265264.12,4
2026-08-15,GROCERY I,245343.36,1
2026-08-16,GROCERY I,227644.99,3
2026-08-17,GROCERY I,277776.39,2
2026-08-18,GROCERY I,256159.35,4
2026-08-19,GROCERY I,244774.5,2
2026-08-20,GROCERY I,205926.33,1
2026-08-21,GROCERY I,243920.11,3
2026-08-22,GROCERY I,270644.26,1
2026-08-23,GROCERY I,292188.38,3
2026-08-24,GROCERY I,241106.66,1
2026-08-25,GROCERY I,256522.66,3
